City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
437,Nikki,BJ,75.2,scattered clouds,9.9401,3.2108,Hotel John
438,Oriximina,BR,81.77,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
440,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
443,Tingo Maria,PE,75.43,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
445,Mendoza,AR,81.66,clear sky,-32.8908,-68.8272,Hotel Mendoza
450,Hobyo,SO,77.59,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
454,Pekan,MY,75.33,light rain,3.4836,103.3996,Pekan Budget Hotel
456,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
471,Vila Velha,BR,75.94,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
476,Lae,PG,85.93,broken clouds,-6.7221,146.9847,Phils Hotel
478,Morgan City,US,78.8,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
481,Mabay,PH,80.37,broken clouds,6.0577,124.4666,Bautista Lodging House
484,Banjar,ID,84.06,broken clouds,-8.19,114.9675,The Hamsa Resort
487,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
489,Camacari,BR,82.17,moderate rain,-12.6975,-38.3242,Hotel Cambuci
493,Kuah,MY,79.86,overcast clouds,6.3265,99.8432,Azio Hotel
505,Gambela,ET,80.11,clear sky,8.25,34.5833,Solomon Debebe Hotel
509,Acarau,BR,80.98,few clouds,-2.8856,-40.12,castelo pizzaria
516,Aquiraz,BR,82.49,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
520,Jizan,SA,75.2,clear sky,17.3333,42.6667,شهدان. ابوالحجر
524,Pangai,TO,80.71,light intensity shower rain,-19.8,-174.35,Ha'apai Beach Resort
526,Bubaque,GW,81.7,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
530,San Policarpo,PH,80.37,overcast clouds,12.1791,125.5072,Agapita M. Nicart
532,Prainha,BR,81.39,broken clouds,-1.8,-53.48,Casa Rocha
541,San Carlos Del Zulia,VE,76.59,overcast clouds,9.0,-71.9135,Hotel El Manantial
543,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
552,Sawakin,SD,79.3,broken clouds,19.1059,37.3321,فندق الدويم
554,Denpasar,ID,83.86,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
558,Nobres,BR,79.29,overcast clouds,-14.7203,-56.3275,Hotel Portal Nobres
563,Mojokerto,ID,78.51,overcast clouds,-7.4664,112.4338,Kos Mojokerto kota - Aisyah Guest House Syariah
566,Labuhan,ID,78.78,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
573,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
581,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
582,Inhambane,MZ,76.91,broken clouds,-23.865,35.3833,Oceano
586,Bima,ID,79.57,overcast clouds,-8.4667,118.7167,Lambitu Hotel
590,Biak,ID,79.36,overcast clouds,-0.9131,122.8766,Penginapan Kim
592,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
593,Basse-Pointe,MQ,78.85,clear sky,14.8695,-61.115,Residence HYBRIDES
595,Cape Coast,GH,80.24,scattered clouds,5.1053,-1.2466,Samrit Hotel
599,Kieta,PG,80.92,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
601,Gainesville,US,75.74,few clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
603,Sarh,TD,77.41,clear sky,9.1429,18.3923,Domicile 1sur le goudron
605,Ternate,ID,82.0,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
607,Laguna De Perlas,NI,78.71,few clouds,12.3429,-83.6712,Hotel Best View
608,Namatanai,PG,83.1,light rain,-3.6667,152.4333,Seagulls Inn Namatani
613,Eydhafushi,MV,82.71,broken clouds,5.1033,73.0708,Soneva Fushi
616,Galle,LK,76.3,broken clouds,6.0367,80.217,Amangalla
623,Trairi,BR,80.85,clear sky,-3.2778,-39.2689,janelas do mar
632,Kandrian,PG,82.27,overcast clouds,-6.2167,149.55,Kandrian Station
641,Vanimo,PG,83.26,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
647,Pochutla,MX,85.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
648,Morant Bay,JM,78.66,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
649,Wajir,KE,79.09,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
650,Nsanje,MW,75.74,clear sky,-16.92,35.262,Nsanje Discovery Lodge
660,Moron,AR,75.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
